stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
DEL5629i,DEL5629i,DELHI RD 5629,DELHI RD & NEEB RD,39.095663,-84.634001,,,,,0
PED8THi,PED8THi,PEDRETTI AVE & 8TH ST,PEDRETTI AVE & W 8TH ST,39.108768,-84.598204,,,,,0
DEL5656o,DEL5656o,DELHI RD 5656,,39.096124,-84.635275,,,,,0
PED460i,PED460i,PEDRETTI AVE 460,PEDRETTI AVE & HERZOG PL,39.098622,-84.59929,,,,,0
SYL2150o,SYL2150o,SYLVED LN 2150,SYLVED LN & FAYVISTA DR,39.130381,-84.621674,,,,,0
MUD3650i,MUD3650i,MUDDYCREEK RD 3650,MUDDY CREEK RD & CHILI HILL DR,39.135548,-84.620718,,,,,0
SYL1965i,SYL1965i,SYLVED LN 1965,SYLVED LN & FAYCREST DR,39.127935,-84.622134,,,,,0
SYLSIDi,SYLSIDi,SYLVED LN & SIDNEY AVE,SYLVED LN & FAYCREST DR,39.126936,-84.622249,,,,,0
SID5417i,SID5417i,SIDNEY AVE 5417,SIDNEY AVE & FAYCREST DR,39.126572,-84.62094,,,,,0
HAM5400o,HAM5400o,HAMILTON AVE 5400,,39.188316,-84.54572,,,,,0
HAMASTo,HAMASTo,HAMILTON AVE & ASTER PL,HAMILTON AVE & HILLCREST RD,39.191554,-84.545947,,,,,0
NOR1620o,NOR1620o,NORTH BEND RD 1620,W NORTH BEND RD & CARY AVE,39.203143,-84.548442,,,,,0
COM2430o,COM2430o,COMPTON RD 2430,,39.233844,-84.567384,,,,,0
COM3370o,COM3370o,COMPTON RD 3370,,39.23744,-84.590846,,,,,0
HAMROOo,HAMROOo,HAMILTON AVE & ROOSEVELT AVE,,39.2736,-84.562075,,,,,0
HAMMACi,HAMMACi,HAMILTON AVE & MCMAKIN ST,,39.233604,-84.548209,,,,,0
COMHAMi,COMHAMi,COMPTON RD & HAMILTON AVE,,39.232435,-84.548441,,,,,0
COLKIPi,COLKIPi,COLERAIN AVE & KIPLING AVE,COLERAIN AVE & ROBERS AVE,39.2003,-84.579454,,,,,0
